id,titulo,descricao,orientacao,dicas,etapas_justificativa,imagem,slug,categoria,custo,requer_internet,etapas,plataformas,autor,autor_contato,link,descricao_categoria
37,Colibras,"O COLibras é um dicionário colaborativo de Libras (Língua Brasileira de Sinais) desenvolvido pela Universidade Federal do Rio Grande do Norte (UFRN). Ele permite que usuários adicionem e acessem sinais de Libras, contribuindo para a expansão do vocabulário disponível. O site é gratuito e de fácil utilização, com a opção de pesquisar palavras e visualizar os sinais correspondentes por meio de imagens e vídeos.","Para maximizar o uso do COLibras como ferramenta assistiva, explore o dicionário regularmente para familiarizar-se com novos sinais. Incentive os alunos a utilizarem o site para aprimorar seu vocabulário em Libras. Caso você tenha conhecimento de novos sinais ou variações regionais, considere contribuir com o dicionário para ajudar na disseminação da língua.","Utilize o COLibras em atividades que envolvam o aprendizado e a prática de Libras, como traduções de textos ou apresentações em sala de aula. O site pode ser particularmente útil em dinâmicas de grupo, onde os alunos podem pesquisar sinais em tempo real. Evite depender exclusivamente do COLibras para ensino avançado de Libras, já que ele é um dicionário e pode não oferecer explicações aprofundadas sobre gramática e uso contextual.",O COLibras é mais indicado para etapas em que os alunos já possuem uma base em Libras e podem se beneficiar de um dicionário para expandir seu vocabulário e melhorar a comunicação.,colibras.jpg,colibras,Libras: Dicionários e Glossários,Grátis,Sim,Educação Infantil; Ensino Fundamental - Anos Iniciais; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Superior; EJA,Site,UFRN,,"Site,https://colibras2020.web.app/;","As ferramentas de Libras: Dicionários e Glossários desempenham um papel vital no aprendizado e aprimoramento do vocabulário em Libras para estudantes e professores. Elas são utilizadas para consultas rápidas durante as aulas e como material de apoio no aprendizado de novos sinais. É fundamental que os glossários estejam atualizados e adequados ao nível de conhecimento dos alunos. Essas tecnologias são recomendadas desde o Ensino Fundamental - Anos Iniciais, passando pelos Anos Finais, Ensino Médio e EJA, pois são importantes para todas as fases do aprendizado de Libras, do básico ao avançado."
38,Transcrição da fala para texto,"Dolphin é uma ferramenta de comunicação assistiva que permite converter textos escritos em fala e transcrever fala em texto. Voltada para facilitar a comunicação de pessoas com comprometimento na fala e/ou surdas, a ferramenta é simples de usar, gratuita e funciona diretamente no navegador.","Para obter o máximo da ferramenta, é importante utilizar a opção de conversão de texto para fala para facilitar a comunicação em sala de aula, especialmente em atividades que envolvam leitura e expressão oral. Utilize o recurso de transcrição de fala em ambientes onde a leitura do conteúdo é mais eficaz para o aluno surdo. Ajuste o volume e a clareza da fala para melhor compreensão.","Recomenda-se o uso do Dolphin em atividades que exijam comunicação escrita e oral, como apresentações de trabalhos ou leitura em voz alta. O recurso de transcrição de fala pode ser útil em situações de diálogos em grupo, permitindo que o aluno acompanhe a conversa por meio de texto. Não é ideal para atividades que demandem alta interatividade ou respostas rápidas em tempo real.","A flexibilidade da ferramenta permite a adaptação a diferentes níveis de ensino, auxiliando na inclusão e na participação ativa dos alunos com necessidades especiais.",transcricao-da-fala-para-texto.jpg,transcricao-da-fala-para-texto,Comunicação Assistiva,Grátis,Não,Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Educação Infantil,iOS,Alexey Beschetnikov,,"iOS,https://apps.apple.com/br/app/transcri%C3%A7%C3%A3o-da-fala-para-texto/id1625460169;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
39,Comunicação para surdos,"O aplicativo ""Comunicação para surdos"" é projetado para facilitar a comunicação entre surdos ou deficientes auditivos e outras pessoas. Ele converte fala em texto com um único botão, permitindo que palavras faladas sejam transcritas em tempo real. É usado em ambientes de saúde, como hospitais, além de suportar vários idiomas, e é ideal para situações onde a comunicação clara é essencial.","Para otimizar o uso como ferramenta assistiva, ajuste o tamanho do texto para melhorar a legibilidade. Utilize a função de gravação para salvar conversas importantes para referência futura. Em ambientes de saúde, o aplicativo pode ser usado para garantir que a comunicação com pacientes surdos seja clara e eficaz.","O aplicativo é recomendado para atividades que exigem comunicação direta, como atendimento individualizado, orientação escolar e explicações detalhadas. Não é ideal para situações que demandem comunicação em grupo ou respostas rápidas, como discussões em sala de aula. Utilize a função de histórico para rever conversas anteriores, o que pode ser útil para acompanhamento educacional.","A tecnologia oferece suporte adequado para diferentes etapas de aprendizado, auxiliando tanto na comunicação básica quanto em situações mais complexas que demandam acompanhamento e revisão de informações.",comunicacao-para-surdos.jpg,comunicacao-para-surdos,Comunicação Assistiva,Grátis,Sim,Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Educação Infantil,iOS,ryo muranaka,,"iOS,https://apps.apple.com/br/app/comunica%C3%A7%C3%A3o-para-surdos/id1638036122?l=en-GB?l=en-GB;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
40,Captify: Legendas ao Vivo,"O Captify é um aplicativo que utiliza o microfone do telefone e inteligência artificial avançada para transformar o discurso em texto em tempo real, criando legendas ao vivo. A tecnologia é projetada para auxiliar pessoas surdas ou com deficiência auditiva, proporcionando uma experiência de comunicação mais inclusiva em diversas situações. O aplicativo é 100% gratuito, suporta 100 idiomas e funciona offline, garantindo acessibilidade em qualquer lugar. Além disso, o Captify prioriza a privacidade dos usuários.","Para maximizar o uso do Captify em sala de aula, posicione o microfone do telefone próximo ao orador para uma melhor captação de áudio. Use o aplicativo em ambientes com baixo ruído de fundo para garantir maior precisão nas transcrições. Explique aos alunos como usar o aplicativo em diferentes contextos, como durante apresentações ou debates.","Utilize o Captify durante aulas expositivas, apresentações de alunos ou palestras para que alunos surdos possam acompanhar as falas em tempo real. O aplicativo também pode ser útil em atividades em grupo, permitindo que todos os alunos acompanhem as discussões. Evite utilizar o Captify em atividades práticas ou dinâmicas onde o uso contínuo de texto pode ser uma distração.","O Captify é mais indicado para etapas onde a compreensão oral é essencial e a necessidade de acompanhamento em tempo real é maior, como em aulas expositivas e apresentações.",captify.jpg,captify,Transcrição de Fala,Grátis,Sim,EJA; Ensino Superior; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Educação Infantil,iOS,Inquiry Health LLC,,"iOS,https://apps.apple.com/br/app/captify-legendas-ao-vivo/id6449643108?platform=iphone;","As tecnologias de Transcrição de Fala são ferramentas essenciais para a inclusão de surdos e deficientes auditivos em ambientes educacionais, pois convertem fala em texto em tempo real. Essas ferramentas são particularmente úteis em aulas expositivas, palestras e ambientes onde o áudio é crucial para a compreensão. No entanto, é importante garantir que a precisão das transcrições seja verificada, especialmente em ambientes com ruído. Essas tecnologias são recomendadas a partir do Ensino Fundamental - Anos Finais, pois a transcrição em tempo real requer que os alunos já possuam um nível avançado de leitura. No Ensino Médio, Ensino Superior e EJA, elas continuam sendo eficazes, proporcionando acessibilidade em aulas mais complexas e discussões acadêmicas."
41,Microsoft Teams,"O Microsoft Teams é uma plataforma de colaboração que integra chat, reuniões, chamadas e compartilhamento de arquivos. Para pessoas surdas ou com deficiência auditiva, oferece legendas em tempo real e transcrição automática, facilitando a participação em reuniões e atividades escolares. A versão gratuita permite reuniões de até 60 minutos com até 100 participantes e oferece 5 GB de armazenamento para arquivos compartilhados.","Para obter o máximo do Teams como ferramenta assistiva, ative as legendas em tempo real e utilize a função de transcrição automática durante reuniões e aulas. Isso permitirá que os alunos surdos acompanhem o conteúdo discutido. Certifique-se de que todos os participantes saibam usar essas funções e mantenham o áudio claro para melhor transcrição.","Use o Microsoft Teams para atividades colaborativas onde os alunos possam participar de discussões em grupo. As legendas em tempo real são úteis em aulas ao vivo ou reuniões escolares, enquanto a transcrição automática pode ser revisada posteriormente para reforço do conteúdo. Evite reuniões muito longas sem pausas para garantir que todos possam acompanhar.","A flexibilidade do Microsoft Teams e suas ferramentas de acessibilidade o tornam adequado para estudantes em etapas mais avançadas, onde a comunicação e colaboração são fundamentais para o sucesso acadêmico.",microsoft-teams.jpg,microsoft-teams,Videoconferência,Freemium,Parcialmente,EJA; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Médio; Ensino Médio; Ensino Médio; Ensino Superior; Ensino Superior; Ensino Superior; EJA; EJA,Android; iOS; Windows,Microsoft Corporation,,"Windows,https://www.microsoft.com/pt-br/microsoft-teams/;Android,https://play.google.com/store/apps/details?id=com.microsoft.teams&hl=pt_BR;iOS,https://apps.apple.com/br/app/microsoft-teams/id1113153706;","No contexto de Videoconferência, plataformas como Zoom, Microsoft Teams e Google Meet, que oferecem legendas automáticas, são essenciais para garantir a acessibilidade em aulas online ou híbridas. É crucial garantir que a ferramenta escolhida seja compatível com os dispositivos dos alunos e que todos tenham acesso adequado à internet. Essas tecnologias são mais indicadas para o Ensino Fundamental - Anos Finais, Ensino Médio, Ensino Superior e EJA, onde os alunos já têm habilidades de leitura e escrita consolidadas e podem se beneficiar plenamente dos recursos de acessibilidade."
42,Google Meet,"O Google Meet é uma plataforma de videoconferência que oferece legendas automáticas em tempo real, facilitando a participação de pessoas surdas ou com deficiência auditiva em reuniões e aulas. A versão gratuita permite reuniões de até 60 minutos com até 100 participantes, sendo ideal para uso em ambientes educacionais e profissionais.","Para obter o máximo do Google Meet como ferramenta assistiva, ative as legendas automáticas durante as reuniões. Certifique-se de que os participantes falem de forma clara para que a transcrição seja precisa. Utilize o compartilhamento de tela e outros recursos visuais para complementar as explicações.","Utilize o Google Meet para aulas ao vivo e discussões em grupo, aproveitando as legendas em tempo real para garantir que todos os alunos possam acompanhar o conteúdo. Evite falar muito rápido, pois isso pode comprometer a precisão das legendas. Reforce o conteúdo com materiais escritos para revisão posterior.","A flexibilidade e acessibilidade do Google Meet, combinadas com suas ferramentas de transcrição e legendas, tornam a plataforma adequada para alunos mais avançados, onde a comunicação eficaz é essencial.",google-meet.jpg,google-meet,Videoconferência,Freemium,Sim,Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Médio; Ensino Superior; Ensino Médio; Ensino Médio; Ensino Superior; Ensino Superior; EJA; EJA; EJA,Android; Site,Google LLC,,"Site,https://workspace.google.com/products/meet/;Android,https://play.google.com/store/apps/details?id=com.google.android.apps.tachyon&hl=pt_BR;Android,https://apps.apple.com/us/app/google-meet/id1096918571;","No contexto de Videoconferência, plataformas como Zoom, Microsoft Teams e Google Meet, que oferecem legendas automáticas, são essenciais para garantir a acessibilidade em aulas online ou híbridas. É crucial garantir que a ferramenta escolhida seja compatível com os dispositivos dos alunos e que todos tenham acesso adequado à internet. Essas tecnologias são mais indicadas para o Ensino Fundamental - Anos Finais, Ensino Médio, Ensino Superior e EJA, onde os alunos já têm habilidades de leitura e escrita consolidadas e podem se beneficiar plenamente dos recursos de acessibilidade."
43,Zoom,"O Zoom é uma plataforma de videoconferência amplamente utilizada, que oferece recursos como chat, telefone e quadro branco. Possui legendas automáticas em tempo real, o que facilita a inclusão de pessoas surdas ou com deficiência auditiva em reuniões e aulas. A versão gratuita permite reuniões de até 40 minutos com até 100 participantes, sendo útil para pequenas reuniões e atividades educacionais.","Para otimizar o uso do Zoom como tecnologia assistiva, ative as legendas automáticas durante as reuniões. Reforce a comunicação visual com o uso de quadros brancos e compartilhamento de tela. Certifique-se de que o áudio seja claro e que todos os participantes falem devagar e pausadamente para melhor transcrição.",Utilize o Zoom para aulas virtuais e discussões em grupo. Incentive os alunos a fazer perguntas pelo chat para garantir que todas as dúvidas sejam respondidas de maneira acessível. Evite agendar reuniões longas na versão gratuita para não interromper a comunicação. Reforce o uso de recursos visuais como slides e imagens para complementar o conteúdo falado.,"O Zoom oferece ferramentas que facilitam a comunicação em diferentes níveis de ensino, e as legendas automáticas garantem acessibilidade para alunos surdos ou com deficiência auditiva.",zoom.jpg,zoom,Videoconferência,Freemium,Sim,EJA; EJA; EJA; EJA; Ensino Superior; Ensino Superior; Ensino Superior; Ensino Superior; Ensino Médio; Ensino Médio; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Médio,Android; iOS; Site; Windows,Zoom Video Communications,,"Site,https://www.zoom.com/pt/products/virtual-meetings/;Android,https://play.google.com/store/apps/details?id=us.zoom.videomeetings&hl=pt_BR;iOS,https://apps.apple.com/us/app/zoom-workplace/id546505307;Windows,https://zoom.us/download?os=win;","No contexto de Videoconferência, plataformas como Zoom, Microsoft Teams e Google Meet, que oferecem legendas automáticas, são essenciais para garantir a acessibilidade em aulas online ou híbridas. É crucial garantir que a ferramenta escolhida seja compatível com os dispositivos dos alunos e que todos tenham acesso adequado à internet. Essas tecnologias são mais indicadas para o Ensino Fundamental - Anos Finais, Ensino Médio, Ensino Superior e EJA, onde os alunos já têm habilidades de leitura e escrita consolidadas e podem se beneficiar plenamente dos recursos de acessibilidade."
44,Skype,"Skype é um serviço de comunicação que permite chamadas de vídeo e voz, mensagens instantâneas e compartilhamento de arquivos. Ele oferece legendas ao vivo e tradução de chamadas, facilitando a inclusão de surdos e pessoas com deficiência auditiva. A versão gratuita permite reuniões com até 100 participantes sem limite de tempo.","Para obter o máximo do Skype como ferramenta assistiva, sempre ative as legendas ao vivo durante chamadas e reuniões. Aproveite o recurso de tradução de chamadas para facilitar a comunicação com falantes de diferentes idiomas. Garanta que todos os participantes falem de forma clara e pausada para melhorar a qualidade das legendas.","Use o Skype para aulas online, reuniões de grupo e sessões de tutoria. Incentive os alunos a utilizar as mensagens instantâneas para tirar dúvidas e fazer perguntas durante as aulas. Reforce o uso de recursos visuais, como compartilhamento de tela, para complementar a comunicação falada. Evite sobrecarregar as reuniões com muitos participantes para garantir que as legendas sejam precisas e legíveis.","As ferramentas de acessibilidade do Skype, como legendas ao vivo e tradução de chamadas, tornam-no adequado para diversas etapas de ensino, garantindo que alunos surdos ou com deficiência auditiva possam participar de maneira inclusiva.",skype.jpg,skype,Videoconferência,Freemium,Sim,Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Médio; Ensino Médio; Ensino Médio; Ensino Superior; Ensino Superior; Ensino Superior; EJA; EJA; EJA; EJA; Ensino Superior,Android; iOS; Site; Windows,Microsoft Corporation,,"Site,https://www.skype.com/pt-br/;Android,https://play.google.com/store/apps/details?id=com.skype.raider&hl=pt_BR;iOS,https://apps.apple.com/us/app/skype/id304878510;Windows,https://apps.microsoft.com/detail/9wzdncrfj364?hl=pt-br&gl=US;","No contexto de Videoconferência, plataformas como Zoom, Microsoft Teams e Google Meet, que oferecem legendas automáticas, são essenciais para garantir a acessibilidade em aulas online ou híbridas. É crucial garantir que a ferramenta escolhida seja compatível com os dispositivos dos alunos e que todos tenham acesso adequado à internet. Essas tecnologias são mais indicadas para o Ensino Fundamental - Anos Finais, Ensino Médio, Ensino Superior e EJA, onde os alunos já têm habilidades de leitura e escrita consolidadas e podem se beneficiar plenamente dos recursos de acessibilidade."
45,LetMeTalk:Aplicação Grátis CAA,"LetMeTalk é uma aplicação gratuita de Comunicação Alternativa e Aumentativa (CAA), projetada para apoiar a comunicação de pessoas com dificuldades de fala, incluindo surdos. O aplicativo permite alinhar imagens para formar frases significativas, utilizando uma base de dados com mais de 9000 imagens do ARASAAC. O LetMeTalk é totalmente funcional offline, o que o torna adequado para uso em diversos ambientes, como escolas e centros de saúde.","Para maximizar o uso como ferramenta assistiva, personalize as categorias e imagens de acordo com as necessidades específicas do usuário. Certifique-se de que o aplicativo esteja configurado corretamente antes de usá-lo em situações ao vivo, como em sala de aula. Treine o usuário para navegar pelas categorias e selecionar imagens para formar frases.","Utilize o LetMeTalk para facilitar a comunicação durante atividades de grupo, permitindo que os alunos participem ativamente das discussões. Reforce o aprendizado de novos conceitos associando imagens às palavras correspondentes. Evite sobrecarregar o aplicativo com muitas categorias de uma só vez; introduza novos conteúdos gradualmente para evitar confusão.","O LetMeTalk é adequado para diferentes níveis de ensino, mas seu uso é especialmente benéfico em etapas iniciais, onde a comunicação básica é fundamental para o desenvolvimento acadêmico e social.",letmetalk.jpg,letmetalk,Comunicação Assistiva,Grátis,Não,Educação Infantil; Ensino Fundamental - Anos Iniciais; Ensino Fundamental - Anos Finais,iOS,AppNotize UG,http://letmetalk.info/,"iOS,https://apps.apple.com/br/app/letmetalk-aplica%C3%A7%C3%A3o-gr%C3%A1tis-caa/id919990138?platform=ipad;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
46,Matraquinha,"O Matraquinha é um aplicativo de comunicação alternativa, voltado principalmente para autistas, mas também útil para pessoas surdas. Ele permite que os usuários transmitam desejos, emoções e necessidades por meio de cartões que, ao serem clicados, reproduzem uma voz que expressa a mensagem. O aplicativo conta com mais de 250 cartões distribuídos em 9 seções e está disponível em múltiplos idiomas, incluindo Português do Brasil. Funciona tanto online quanto offline.","Para obter o máximo do Matraquinha, é recomendado que os usuários ou educadores personalizem os cartões com imagens e frases que sejam relevantes para o contexto escolar e cotidiano dos alunos. Além disso, monitore o uso do aplicativo para evitar cliques repetidos que possam sobrecarregar o áudio. Pratique a repetição das palavras ou frases mostradas pelo aplicativo para reforçar a aprendizagem.","Utilize o Matraquinha em atividades de rotina, como ensinar horários, necessidades básicas e comunicação de emoções. O aplicativo é ideal para introduzir novas palavras e conceitos de forma visual e auditiva. Evite usar o aplicativo em momentos que exigem maior concentração em atividades práticas, onde o uso de tecnologia pode distrair o aluno.","O Matraquinha é mais indicado para etapas iniciais da educação, onde a comunicação visual e auditiva é crucial para o desenvolvimento da linguagem e compreensão de rotinas.",matraquinha.jpg,matraquinha,Comunicação Assistiva,Grátis,Não,Ensino Médio; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Ensino Fundamental - Anos Iniciais; Educação Infantil; Educação Infantil,Android; iOS,Matraquinha,https://www.matraquinha.com.br/,"Android,https://play.google.com/store/apps/details?id=com.phonegap.matraquinha&hl=pt_BR&gl=US;iOS,https://apps.apple.com/br/app/matraquinha-autismo/id1423586611;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
47,HelpTalk,"O HelpTalk é um aplicativo desenvolvido para auxiliar pessoas incapazes de se comunicar de forma tradicional (oral ou escrita) em situações cotidianas, emergenciais ou em interações com profissionais de saúde e familiares. Ele permite a criação de perfis personalizados com ações pré-definidas que, ao serem selecionadas, são pronunciadas pelo dispositivo. O aplicativo também oferece suporte para múltiplos idiomas e inclui funcionalidades de emergência, como o envio de SMS com coordenadas.","Para maximizar o uso do HelpTalk como ferramenta assistiva, é importante configurar perfis personalizados de acordo com as necessidades específicas do usuário. Utilize o recurso de múltiplos idiomas quando necessário e familiarize-se com as funções de emergência. Teste o aplicativo em diferentes cenários para garantir que o usuário se sinta confortável ao usá-lo.","Utilize o HelpTalk em sala de aula para facilitar a comunicação de alunos que enfrentam desafios na fala ou na escrita. Crie perfis personalizados para atividades específicas ou rotinas diárias. Recomenda-se o uso em situações onde a comunicação rápida e eficaz é essencial, como em atividades de grupo ou durante emergências escolares.","A flexibilidade do HelpTalk, com perfis personalizáveis e suporte para múltiplos idiomas, o torna uma ferramenta eficaz para todas as etapas de ensino, ajudando a superar barreiras de comunicação em diferentes contextos educacionais.",helptalk.jpg,helptalk,Comunicação Assistiva,Grátis,Não,EJA; Ensino Superior; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Educação Infantil,Android,HelpTalk,https://www.helptalk.mobi/,"Android,https://play.google.com/store/apps/details?id=com.helptalk;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
48,AsTeRICS Grid,"O AsTeRICS Grid é uma ferramenta gratuita e de código aberto para Comunicação Aumentativa e Alternativa (CAA), que pode ser utilizada tanto online quanto offline. Ele permite a criação de tabelas de comunicação personalizáveis e oferece suporte para diferentes tipos de entrada, como toques, rastreamento ocular e até sensores musculares. A aplicação pode ser usada em dispositivos diversos, como PCs, tablets e smartphones, e é compatível com sistemas operacionais Windows, Linux, Android e iOS. Além de comunicação, o AsTeRICS Grid oferece controle de casa inteligente, reprodução de rádios online e vídeos do YouTube.","Para maximizar o uso do AsTeRICS Grid como ferramenta assistiva, é importante configurar as tabelas de comunicação de acordo com as necessidades individuais dos usuários. Prefira o uso offline para maior confiabilidade, especialmente em ambientes com acesso limitado à internet. Explore as funcionalidades de controle de casa inteligente e multimídia, que podem enriquecer a experiência do usuário.","Utilize o AsTeRICS Grid para facilitar a comunicação em sala de aula, especialmente para alunos com dificuldades de fala. Crie tabelas específicas para atividades escolares, como descrições de tarefas, interações com colegas e rotinas diárias. Recomenda-se o uso em atividades que envolvam comunicação intensa e que demandem adaptações específicas, como apresentações ou trabalhos em grupo.","O AsTeRICS Grid é altamente personalizável, o que permite adaptar a ferramenta para diferentes níveis de ensino e necessidades individuais, desde a educação básica até o ensino superior.",asterics-grid.jpg,asterics-grid,Comunicação Assistiva,Grátis,Não,EJA; Ensino Superior; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Educação Infantil,Site,University of Applied Sciences Technikum Wien,https://www.asterics.eu/,"Site,https://grid.asterics.eu/;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
49,LibrasQuim - Dicionário de Libras para Química,"O ""LibrasQuim - Dicionário de Libras para Química"" é uma ferramenta de acessibilidade linguística desenvolvida para apoiar alunos surdos, professores e intérpretes de Libras no ensino de química. Através de uma lista de termos comuns da química, o site oferece vídeos que mostram os sinais correspondentes aos termos, facilitando a compreensão e a comunicação dos conceitos químicos em sala de aula.","Para maximizar o uso da ferramenta, recomenda-se que o professor familiarize-se previamente com os sinais disponíveis no dicionário para incorporá-los de maneira eficaz em suas aulas. Evite utilizar termos ou conceitos que não estejam presentes na lista de sinais sem fornecer uma explicação adicional ou buscar alternativas de sinalização. O site requer conexão à internet, portanto, certifique-se de que a infraestrutura necessária esteja disponível.","Use o LibrasQuim durante explicações de conceitos-chave ou ao apresentar novos termos em química. É especialmente útil em aulas que abordam a tabela periódica ou reações químicas, onde a visualização dos sinais pode reforçar a compreensão dos alunos surdos. Recomenda-se também que seja utilizado em atividades práticas ou laboratoriais, onde a aplicação dos termos em sinais pode ser crucial para a compreensão e a segurança dos alunos.","A ferramenta é mais adequada para estudantes a partir do Ensino Fundamental - Anos Finais, que já possuem familiaridade com a leitura e começam a ter contato com a disciplina de química. No Ensino Médio e Ensino Superior, o uso do dicionário torna-se ainda mais relevante, dado o aprofundamento dos conteúdos químicos.",librasquim.jpg,librasquim,Libras: Dicionários e Glossários,Grátis,Sim,Ensino Superior; Ensino Médio; Ensino Fundamental - Anos Finais,Site,IFPB,librasquim@gmail.com,"Site,https://joaopessoa.ifpb.edu.br/librasquim/#!;","As ferramentas de Libras: Dicionários e Glossários desempenham um papel vital no aprendizado e aprimoramento do vocabulário em Libras para estudantes e professores. Elas são utilizadas para consultas rápidas durante as aulas e como material de apoio no aprendizado de novos sinais. É fundamental que os glossários estejam atualizados e adequados ao nível de conhecimento dos alunos. Essas tecnologias são recomendadas desde o Ensino Fundamental - Anos Iniciais, passando pelos Anos Finais, Ensino Médio e EJA, pois são importantes para todas as fases do aprendizado de Libras, do básico ao avançado."
